dia,indice,geocod,cdufmun,nome
28/07/2021,46.63075808308353,3200607,320060,ARACRUZ
28/07/2021,38.281134363365176,3201209,320120,CACHOEIRO DE ITAPEMIRIM
28/07/2021,40.95625692923873,3201308,320130,CARIACICA
28/07/2021,35.3477190913882,3201506,320150,COLATINA
28/07/2021,41.4268549723706,3202405,320240,GUARAPARI
28/07/2021,40.543338775256466,3203205,320320,LINHARES
28/07/2021,43.06969565688293,3203908,320390,NOVA VENÉCIA
28/07/2021,41.8793535451896,3204906,320490,SÃO MATEUS
28/07/2021,38.98360293304838,3205002,320500,SERRA
28/07/2021,45.1934475067459,3205101,320510,VIANA
28/07/2021,40.01855477524274,3205200,320520,VILA VELHA
28/07/2021,40.31662978069511,3205309,320530,VITÓRIA
29/07/2021,46.420372590049375,3200607,320060,ARACRUZ
29/07/2021,37.775231535427295,3201209,320120,CACHOEIRO DE ITAPEMIRIM
29/07/2021,40.49942788831013,3201308,320130,CARIACICA
29/07/2021,34.82271819255772,3201506,320150,COLATINA
29/07/2021,40.60789094536185,3202405,320240,GUARAPARI
29/07/2021,39.72261513500021,3203205,320320,LINHARES
29/07/2021,42.94955281147829,3203908,320390,NOVA VENÉCIA
29/07/2021,41.86914920532696,3204906,320490,SÃO MATEUS
29/07/2021,39.49746625199144,3205002,320500,SERRA
29/07/2021,44.98260197177653,3205101,320510,VIANA
29/07/2021,40.08028872831027,3205200,320520,VILA VELHA
29/07/2021,40.21645496571345,3205309,320530,VITÓRIA
30/07/2021,46.1049081965388,3200607,320060,ARACRUZ
30/07/2021,38.27577039969536,3201209,320120,CACHOEIRO DE ITAPEMIRIM
30/07/2021,40.43479502112596,3201308,320130,CARIACICA
30/07/2021,34.81732128228441,3201506,320150,COLATINA
30/07/2021,41.24734072749135,3202405,320240,GUARAPARI
30/07/2021,39.33009003213519,3203205,320320,LINHARES
30/07/2021,40.59703355566289,3203908,320390,NOVA VENÉCIA
30/07/2021,40.961296158692214,3204906,320490,SÃO MATEUS
30/07/2021,39.10384226284909,3205002,320500,SERRA
30/07/2021,44.54272088707215,3205101,320510,VIANA
30/07/2021,39.212459917544656,3205200,320520,VILA VELHA
30/07/2021,39.55890554626031,3205309,320530,VITÓRIA
31/07/2021,49.20965671107744,3200607,320060,ARACRUZ
31/07/2021,41.64269529794732,3201209,320120,CACHOEIRO DE ITAPEMIRIM
31/07/2021,42.707748600415314,3201308,320130,CARIACICA
31/07/2021,38.14183059587472,3201506,320150,COLATINA
31/07/2021,43.704061470106275,3202405,320240,GUARAPARI
31/07/2021,43.38207170879367,3203205,320320,LINHARES
31/07/2021,45.661564625850346,3203908,320390,NOVA VENÉCIA
31/07/2021,44.48585908124898,3204906,320490,SÃO MATEUS
31/07/2021,43.09008418482103,3205002,320500,SERRA
31/07/2021,47.68592830390583,3205101,320510,VIANA
31/07/2021,42.495867045750266,3205200,320520,VILA VELHA
31/07/2021,43.07500330686433,3205309,320530,VITÓRIA
01/08/2021,52.82404690307786,3200607,320060,ARACRUZ
01/08/2021,46.65539919058131,3201209,320120,CACHOEIRO DE ITAPEMIRIM
01/08/2021,47.62463822339193,3201308,320130,CARIACICA
01/08/2021,42.649421347222365,3201506,320150,COLATINA
01/08/2021,45.39462762481677,3202405,320240,GUARAPARI
01/08/2021,48.60005047165443,3203205,320320,LINHARES
01/08/2021,51.37792093493866,3203908,320390,NOVA VENÉCIA
01/08/2021,47.76429615983591,3204906,320490,SÃO MATEUS
01/08/2021,48.14489251635539,3205002,320500,SERRA
01/08/2021,52.441965938164785,3205101,320510,VIANA
01/08/2021,46.56112546313128,3205200,320520,VILA VELHA
01/08/2021,47.682267351385,3205309,320530,VITÓRIA
02/08/2021,46.138951858659105,3200607,320060,ARACRUZ
02/08/2021,38.51783673802528,3201209,320120,CACHOEIRO DE ITAPEMIRIM
02/08/2021,40.385910749368506,3201308,320130,CARIACICA
02/08/2021,34.843980465156825,3201506,320150,COLATINA
02/08/2021,41.23470019760709,3202405,320240,GUARAPARI
02/08/2021,40.11396567054845,3203205,320320,LINHARES
02/08/2021,43.410653490737054,3203908,320390,NOVA VENÉCIA
02/08/2021,42.00584054524106,3204906,320490,SÃO MATEUS
02/08/2021,39.35951618258006,3205002,320500,SERRA
02/08/2021,44.625609232898,3205101,320510,VIANA
02/08/2021,39.35790452025792,3205200,320520,VILA VELHA
02/08/2021,40.20129606741036,3205309,320530,VITÓRIA
03/08/2021,46.32728234708871,3200607,320060,ARACRUZ
03/08/2021,36.533661342994925,3201209,320120,CACHOEIRO DE ITAPEMIRIM
03/08/2021,40.03052093092241,3201308,320130,CARIACICA
03/08/2021,34.71794836882523,3201506,320150,COLATINA
03/08/2021,38.16803927563637,3202405,320240,GUARAPARI
03/08/2021,39.34842126404585,3203205,320320,LINHARES
03/08/2021,44.256754910799664,3203908,320390,NOVA VENÉCIA
03/08/2021,42.61177974521142,3204906,320490,SÃO MATEUS
03/08/2021,39.09182343080647,3205002,320500,SERRA
03/08/2021,44.73139251621125,3205101,320510,VIANA
03/08/2021,39.050594330996645,3205200,320520,VILA VELHA
03/08/2021,40.001080999809595,3205309,320530,VITÓRIA
04/08/2021,46.09588218597847,3200607,320060,ARACRUZ
04/08/2021,37.63019139973425,3201209,320120,CACHOEIRO DE ITAPEMIRIM
04/08/2021,40.88387279598225,3201308,320130,CARIACICA
04/08/2021,35.27050614623261,3201506,320150,COLATINA
04/08/2021,39.89966542329431,3202405,320240,GUARAPARI
04/08/2021,39.94426818067964,3203205,320320,LINHARES
04/08/2021,43.257620821723386,3203908,320390,NOVA VENÉCIA
04/08/2021,41.91912830600893,3204906,320490,SÃO MATEUS
04/08/2021,38.72162326825779,3205002,320500,SERRA
04/08/2021,44.44518698708866,3205101,320510,VIANA
04/08/2021,39.09281915029247,3205200,320520,VILA VELHA
04/08/2021,39.91769948136064,3205309,320530,VITÓRIA
05/08/2021,46.100100665087844,3200607,320060,ARACRUZ
05/08/2021,38.25889103088479,3201209,320120,CACHOEIRO DE ITAPEMIRIM
05/08/2021,40.56948789587272,3201308,320130,CARIACICA
05/08/2021,35.85606537784453,3201506,320150,COLATINA
05/08/2021,40.42136425544793,3202405,320240,GUARAPARI
05/08/2021,40.095831528143954,3203205,320320,LINHARES
05/08/2021,43.85046728971963,3203908,320390,NOVA VENÉCIA
05/08/2021,41.61855644236011,3204906,320490,SÃO MATEUS
05/08/2021,38.4125654585437,3205002,320500,SERRA
05/08/2021,44.14207299686341,3205101,320510,VIANA
05/08/2021,38.85120199963125,3205200,320520,VILA VELHA
05/08/2021,39.42693457277234,3205309,320530,VITÓRIA
06/08/2021,45.3961060901613,3200607,320060,ARACRUZ
06/08/2021,37.75152387687749,3201209,320120,CACHOEIRO DE ITAPEMIRIM
06/08/2021,39.92635816770041,3201308,320130,CARIACICA
06/08/2021,34.37280879802192,3201506,320150,COLATINA
06/08/2021,40.21648861509669,3202405,320240,GUARAPARI
06/08/2021,38.872462610209105,3203205,320320,LINHARES
06/08/2021,42.5174721739452,3203908,320390,NOVA VENÉCIA
06/08/2021,40.869127670280406,3204906,320490,SÃO MATEUS
06/08/2021,38.26859400971813,3205002,320500,SERRA
06/08/2021,43.702540437090995,3205101,320510,VIANA
06/08/2021,38.54927342947712,3205200,320520,VILA VELHA
