dia,indice,geocod,cdufmun,nome
30/08/2021,45.119607741757578,3200607,320060,ARACRUZ
30/08/2021,32.159197840773985,3201209,320120,CACHOEIRO DE ITAPEMIRIM
30/08/2021,40.876356699424904,3201308,320130,CARIACICA
30/08/2021,35.984671942991301,3201506,320150,COLATINA
30/08/2021,41.168396578324075,3202405,320240,GUARAPARI
30/08/2021,39.944715764229251,3203205,320320,LINHARES
30/08/2021,43.942704935855620,3203908,320390,NOVA VENÉCIA
30/08/2021,41.865166623286873,3204906,320490,SÃO MATEUS
30/08/2021,39.571380861941757,3205002,320500,SERRA
30/08/2021,44.394540206630520,3205101,320510,VIANA
30/08/2021,40.363612697732110,3205200,320520,VILA VELHA
30/08/2021,40.188713526412843,3205309,320530,VITÓRIA
